n_estimators,max_depth,score
113,4,0.8050879080432105
116,5,0.8136111270663181
119,6,0.8141008898984503
122,7,0.8117371229759502
125,8,0.7920644038910878
128,9,0.7509752547041264
131,10,0.7164418162840974
134,11,0.6635151235667143
137,12,0.6565205761758415
140,13,0.6274050916024839
143,14,0.6193269067865821
147,1,0.49768213966865155
5,2,0.18799899532934375
8,3,0.381995990026125
11,4,0.5477139634079716
14,5,0.674869541302592
17,6,0.7357827573870275
20,7,0.7626800804043187
23,8,0.7599490992373387
26,9,0.7394491893034563
29,10,0.7131821452517254
32,11,0.6697567865372687
35,12,0.6558283447034224
38,13,0.6320365867960431
41,14,0.6283292844883963
45,1,0.3502891958332924
48,2,0.5906758316157481
51,3,0.7167942826158386
54,4,0.7789321263521565
57,5,0.8000347887074449
60,6,0.8072870668992883
63,7,0.8082327730183428
66,8,0.792063625276678
69,9,0.7478424316640275
72,10,0.7141268101104714
75,11,0.6574380385035258
78,12,0.6514280353853781
81,13,0.6341446200666888
84,14,0.6302133134600441
88,1,0.43978519315461684
91,2,0.6727877984932974
94,3,0.7534648660051035
97,4,0.8008970093598355
100,5,0.8099984656933675
103,6,0.8164246492538685
106,7,0.8117261020626445
109,8,0.7890804598378572
112,9,0.7510071538573784
115,10,0.7172973678621315
118,11,0.6579105674464805
121,12,0.6471043889700628
124,13,0.6221850489000085
127,14,0.6289452081867991
131,1,0.4854200382853374
134,2,0.7052069719628089
137,3,0.7692583844728077
140,4,0.8081024759485185
143,5,0.8155744002939076
146,6,0.8172620060010664
149,7,0.8122999498524682
7,8,0.5779473769771373
10,9,0.6611733256552134
13,10,0.6899297863502039
16,11,0.6606748782589994
19,12,0.6691105750745092
22,13,0.645088139402253
25,14,0.6399613118680357
29,1,0.29061499561273285
32,2,0.5216310557091074
35,3,0.675142859522752
38,4,0.7580450478936498
41,5,0.7879421505721393
44,6,0.8070927610512394
47,7,0.8080558509838657
50,8,0.7857661560080691
56,10,0.7133286492869435
59,11,0.6608909531258831
62,12,0.6568516426614464
65,13,0.6250875385651797
68,14,0.6395357095299102
72,1,0.41490489225324834
75,2,0.652839121912383
78,3,0.7417108265895722
81,4,0.7945111233929736
84,5,0.8065463101640912
87,6,0.8176340360222554
90,7,0.81111077366734
93,8,0.7934117523382822
96,9,0.7508461012185763
99,10,0.7189264394351522
102,11,0.6655412238236386
105,12,0.6511621069460234
108,13,0.6350121628456057
111,14,0.6362199069726497
115,1,0.4699264547419836
118,2,0.6944888677042793
121,3,0.7649739219311569
124,4,0.8076171513148311
127,5,0.8118448213533472
130,6,0.8158303176896586
133,7,0.8101959301502742
136,8,0.790951294949242
139,9,0.7490854682065542
142,10,0.7174663061384756
145,11,0.6588759155129262
148,12,0.6611123752537591
6,13,0.5217108460442471
9,14,0.6023617610478964
13,1,0.17808060330222406
16,2,0.39204501313166107
19,3,0.571451992011871
22,4,0.7001938208252344
25,5,0.7636417699191259
28,6,0.7875551592795227
31,7,0.7958570605998225
34,8,0.7797156176189322
37,9,0.7466075235548734
40,10,0.7162179675109058
43,11,0.664868566546284
46,12,0.6616205664184168
49,13,0.6408305853431675
52,14,0.6318000358223281
56,1,0.37752767179607993
59,2,0.6238339248227381
62,3,0.7295106051608591
65,4,0.7848632430359375
68,5,0.8047693440284989
71,6,0.8137013546745875
74,7,0.8143244173173444
77,8,0.7895903452652604
80,9,0.7473533794139962
83,10,0.7179637409409863
86,11,0.6593604985727266
89,12,0.6548722634636426
92,13,0.627273801487407
95,14,0.6293450648355536
99,1,0.45410891323145103
102,2,0.6814775296131913
105,3,0.7585581222851091
108,4,0.8009764457275182
111,5,0.8104220899788346
114,6,0.8151515526032707
117,7,0.8111662761892413
120,8,0.7895794820271534
123,9,0.7510649199528336
126,10,0.715766324189459
129,11,0.6588712978443613
132,12,0.6580767095188539
135,13,0.6271224120412637
138,14,0.6316157500354932
142,1,0.49458806718129267
145,2,0.7116072374680837
148,3,0.7724780385436343
6,4,0.40140709905146676
9,5,0.575124944710314
12,6,0.6693205874214536
15,7,0.7314498464502877
18,8,0.7427139484309521
21,9,0.7369856038861706
24,10,0.7147120082392748
27,11,0.6698888965517654
30,12,0.6659317227134826
33,13,0.6319812643251406
36,14,0.6343551940759609
40,1,0.33277310569799873
43,2,0.573880754934009
46,3,0.7075466611342698
49,4,0.773305013189393
52,5,0.7953903870218464
55,6,0.8082696540673486
58,7,0.8093420465997713
61,8,0.7864201733085668
64,9,0.7489937028000582
67,10,0.7148566640603728
70,11,0.6560747947301118
