n_neighbors,algorithm,cv,dataset,score
15,auto,5,digits_data,0.9543825441039926
16,auto,5,digits_data,0.9543840916125038
17,auto,5,digits_data,0.9532667904673475
18,auto,5,digits_data,0.9493748065614362
19,auto,5,digits_data,0.950484370164036
20,auto,5,digits_data,0.9493732590529248
21,auto,5,digits_data,0.9488192510058806
22,auto,5,digits_data,0.9493763540699474
23,auto,5,digits_data,0.948263695450325
24,auto,5,digits_data,0.9488238935314145
25,auto,5,digits_data,0.9460383782110803
26,auto,5,digits_data,0.9454828226555246
27,auto,5,digits_data,0.9438099659548127
28,auto,5,digits_data,0.9432497678737233
29,auto,5,digits_data,0.9410275456515012
30,auto,5,digits_data,0.9410244506344785
31,auto,5,digits_data,0.9404658000619005
32,auto,5,digits_data,0.9410213556174559
33,auto,5,digits_data,0.9404642525533891
34,auto,5,digits_data,0.9387929433611886
35,auto,5,digits_data,0.9365722686474776
36,auto,5,digits_data,0.9343454038997215
37,auto,5,digits_data,0.9343438563912102
38,auto,5,digits_data,0.9326740947075208
39,auto,5,digits_data,0.9315598885793872
40,auto,5,digits_data,0.9321169916434542
41,auto,5,digits_data,0.9298932219127206
42,auto,5,digits_data,0.9304503249767875
43,auto,5,digits_data,0.929337666357165
44,auto,5,digits_data,0.9298932219127206
45,auto,5,digits_data,0.9310043330238317
46,auto,5,digits_data,0.9310043330238317
47,auto,5,digits_data,0.9282203652120087
48,auto,5,digits_data,0.9287774682760755
49,auto,5,digits_data,0.9271092541008976
3,ball_tree,5,digits_data,0.966621788919839
4,ball_tree,5,digits_data,0.9638409161250386
5,ball_tree,5,digits_data,0.9627282575054161
6,ball_tree,5,digits_data,0.9593856391210152
7,ball_tree,5,digits_data,0.9599458372021046
8,ball_tree,5,digits_data,0.9577205199628598
9,ball_tree,5,digits_data,0.9566109563602601
10,ball_tree,5,digits_data,0.954942742185082
11,ball_tree,5,digits_data,0.9554982977406375
12,ball_tree,5,digits_data,0.9560523057876817
13,ball_tree,5,digits_data,0.9554967502321263
14,ball_tree,5,digits_data,0.9560507582791706
